,EMPLOYEE_ID,RATINGS_2021,JOB_FAMILY_GROUP,MANAGER_ID,GENDER,TERMINATION_TYPE,STATUS,JOB_PROFILE_NAME,JOB_FAMILY_DESC,WORK_ADDRESS_COUNTRY,engagement_score,risk_score,Promotional_Opportunities,Relationship_with_manager
4515,1248101.0,Not Rated,"Legal, Compliance & Risk",521902.0,Male,None,Active,Senior Specialist - Business Resiliency,BUSINESS RESILIENCY,India,73,0.5044198833172041,-9999.0,-9999.0
4516,1248102.0,Not Rated,Human Resources,1173692.0,Female,None,Active,Talent Acquisition Recruiter,TALENT ACQUISITION,India,77,0.6941410654146225,-9999.0,-9999.0
4517,1252855.0,Not Rated,Human Resources,1209221.0,Female,None,Active,HR Operations Administrator,HR OPERATIONS,India,54,0.8495999633315361,-9999.0,-9999.0
4518,1260854.0,Not Rated,Information Technology,1265225.0,Male,None,Active,Analyst - IT Product Support,IT PRODUCT SUPPORT,India,48,0.6552708983585274,-9999.0,-9999.0
4519,1264266.0,Not Rated,Information Technology,1255476.0,Female,None,Active,Senior Analyst - IT Product Support,IT PRODUCT SUPPORT,India,89,0.5438567746437997,1.0,1.0
4520,1264264.0,Not Rated,Information Technology,1224293.0,Male,None,Active,Agility Coach,BUSINESS AGILITY,Ireland,56,0.6868001439994803,-9999.0,-9999.0
4521,1252818.0,Not Rated,Information Technology,1172749.0,Male,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,85,0.6793809615735532,-9999.0,-9999.0
4522,843878.0,On Track,Information Technology,1118070.0,Male,None,Active,Specialist - Systems Administration,SYSTEMS ADMINISTRATION,United Kingdom,26,0.4283616463518133,-9999.0,-9999.0
4523,1248485.0,On Track,Information Technology,1242449.0,Male,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,72,0.4964492536470921,-9999.0,-9999.0
4524,1260862.0,Not Rated,Human Resources,1040544.0,Female,None,Active,HRSS Operations Analyst,HR SHARED SERVICES OPERATIONS,Philippines,98,0.6899393679900309,-9999.0,-9999.0
4525,843862.0,On Track,Human Resources,1072901.0,Male,None,Active,Talent and Learning (Hybrid) Leader,TALENT & LEARNING (HYBRID),Taiwan,14,0.0,-9999.0,-9999.0
4526,1260866.0,Not Rated,Information Technology,1172752.0,Male,None,Active,Senior Applications Development Analyst,APPLICATIONS DEVELOPMENT,India,36,0.5317005822359219,-9999.0,-9999.0
4527,1169770.0,On Track,Information Technology,1155432.0,Male,None,Active,Specialist - Systems Administration,SYSTEMS ADMINISTRATION,United Kingdom,74,0.4691156187014677,-9999.0,-9999.0
4528,1248460.0,On Track,Project Management Group,818385.0,Female,None,Active,Senior Project Manager,PROJECT MANAGEMENT,United States of America,46,0.4459043910739011,-9999.0,-9999.0
4529,1264362.0,Not Rated,Information Technology,743901.0,Male,None,Active,Senior Analyst - IT Product Development,IT PRODUCT DEVELOPMENT,Spain,29,0.7973877847598966,-9999.0,-9999.0
4530,848710.0,On Track,Information Technology,1019447.0,Male,None,Active,Specialist - Data Center Operations,DATA CENTER OPERATIONS,United Kingdom,99,0.467641294421798,-9999.0,-9999.0
4531,852820.0,On Track,Information Technology,843655.0,Male,None,Active,Senior Applications Development Analyst,APPLICATIONS DEVELOPMENT,India,30,0.4800299277286383,-9999.0,-9999.0
